,droprate,learning_rates,hidden_dim,v_dim,dev_accuracy,test_accuracy
0,0.4934691386796638,0.0076023784899189855,183,17,0.26785714285714285,0.22340425531914893
1,0.749745851552174,0.007737766458510631,183,11,0.20089285714285715,0.2978723404255319
2,0.40539708617878967,0.0004654711475990776,183,16,0.3482142857142857,0.31560283687943264
3,0.646439744468251,0.006163446532933048,183,15,0.26339285714285715,0.3262411347517731
4,0.7938151461709704,0.00024241277596573536,183,13,0.28125,0.3191489361702128
5,0.34983263201186887,0.004270061322108231,183,16,0.29464285714285715,0.2695035460992908
6,0.714568488988444,0.0007450680250643225,183,10,0.3482142857142857,0.2907801418439716
7,0.4326294563565636,0.00012464147182290688,183,25,0.32142857142857145,0.3049645390070922
8,0.6089155468387575,0.0003539642944572885,183,27,0.3080357142857143,0.3120567375886525
9,0.2973471880222723,0.0007336308720029066,183,19,0.32589285714285715,0.3049645390070922
10,0.632536480231535,0.00015824297510726369,183,16,0.32589285714285715,0.31560283687943264
11,0.23881704713824642,0.002332453944390082,183,8,0.25892857142857145,0.2872340425531915
12,0.469548644012207,0.0003069756196964539,183,5,0.3169642857142857,0.32269503546099293
13,0.3741455054399254,0.0007555194044208356,183,27,0.29017857142857145,0.21631205673758866
14,0.5929016317479399,0.0034190935970066154,183,6,0.28125,0.3191489361702128
15,0.3160573547638662,0.00020311648903671868,183,10,0.29464285714285715,0.3262411347517731
16,0.22756520639478114,0.0004359782391426756,183,18,0.28125,0.36524822695035464
17,0.44347362552624214,0.003687647859748737,183,26,0.30357142857142855,0.2730496453900709
18,0.31031197921234427,0.004872043780691176,183,14,0.3169642857142857,0.375886524822695
19,0.7765367793894049,0.0005893965333460683,183,17,0.3080357142857143,0.32978723404255317
20,0.7882429618191296,0.000735319410524397,183,10,0.29017857142857145,0.2765957446808511
21,0.4078529475210496,0.004653720835827549,183,26,0.29464285714285715,0.38652482269503546
22,0.4812039332269473,0.007604149844500851,183,19,0.26339285714285715,0.22340425531914893
23,0.5692766320577007,0.006866114842095292,183,25,0.20535714285714285,0.20212765957446807
24,0.6186387567883987,0.007726446560297984,183,20,0.3080357142857143,0.33687943262411346
25,0.6072181564267474,0.0001922959168333957,183,14,0.3125,0.3191489361702128
26,0.6408342869790983,0.0001105066918743441,183,18,0.3080357142857143,0.2730496453900709
27,0.49017842308207743,0.0013336736984445648,183,7,0.3080357142857143,0.34397163120567376
28,0.5558074083948511,0.0008797997268022239,183,9,0.27232142857142855,0.3829787234042553
29,0.2386123511756309,0.005078800780295644,183,20,0.2767857142857143,0.25886524822695034
30,0.2677431272024038,0.00010177883005625992,183,19,0.30357142857142855,0.2801418439716312
31,0.4554574671590661,0.0031939607045170493,183,7,0.22767857142857142,0.35106382978723405
32,0.4516068616503599,0.003755748687516588,183,27,0.29910714285714285,0.21631205673758866
33,0.24958369641464045,0.0002118052625398808,183,28,0.29910714285714285,0.3404255319148936
34,0.3196758296336924,0.0023471011757266957,183,10,0.26785714285714285,0.3262411347517731
35,0.43215035031855553,0.0006875804093199656,183,29,0.044642857142857144,0.03900709219858156
36,0.7893995601302048,0.0011488018962823796,183,13,0.2767857142857143,0.34397163120567376
37,0.6736944836837104,0.00012129359157830684,183,8,0.30357142857142855,0.3404255319148936
38,0.7657365507867793,0.0011780160309646966,183,21,0.29910714285714285,0.30141843971631205
39,0.7826744796239498,0.0026559974891585893,183,14,0.32142857142857145,0.30141843971631205
40,0.36617865699927254,0.00025869122212297704,183,28,0.33035714285714285,0.3191489361702128
41,0.6109157372099163,0.0005055647625128134,183,7,0.2767857142857143,0.32978723404255317
42,0.20619270004820242,0.000481296644676671,183,12,0.32142857142857145,0.3120567375886525
43,0.3110562508320484,0.0008486156585251754,183,29,0.03571428571428571,0.028368794326241134
44,0.23791525617793313,0.004769336961709669,183,14,0.23660714285714285,0.18439716312056736
45,0.23104482852211167,0.001201863127690418,183,26,0.26785714285714285,0.2553191489361702
46,0.5068159451845959,0.0001234423382102619,183,28,0.32589285714285715,0.3971631205673759
47,0.5076590959444951,0.0014550770052609288,183,17,0.2767857142857143,0.4078014184397163
48,0.5077259794138727,0.001112665670972857,183,6,0.29910714285714285,0.3900709219858156
49,0.7897891655455853,0.007619567353547093,183,23,0.3125,0.32269503546099293
50,0.4032750407456174,0.004953252515936434,183,11,0.18303571428571427,0.1347517730496454
51,0.6663454444273698,0.00018563441903968742,183,22,0.3482142857142857,0.3333333333333333
52,0.3409035545945381,0.0029355556484807087,183,20,0.30357142857142855,0.3333333333333333
53,0.2680079889210634,0.00020711103264318267,183,5,0.3080357142857143,0.30141843971631205
54,0.6411688842247902,0.004175358595826803,183,18,0.24107142857142858,0.3120567375886525
55,0.22045661500588554,0.0009855582545791157,183,13,0.3080357142857143,0.3829787234042553
56,0.7532929724210271,0.005566769244349773,183,26,0.2767857142857143,0.33687943262411346
57,0.5985775266483211,0.0019986176677484874,183,11,0.26785714285714285,0.39361702127659576
58,0.5895454320546181,0.00011915582752325232,183,20,0.3125,0.3191489361702128
59,0.7833644707691994,0.002044496908205838,183,9,0.3169642857142857,0.24822695035460993
