,droprate,learning_rates,hidden_dim,v_dim,dev_accuracy,test_accuracy
0,0.5722845828325757,0.002560474348324383,67,22,0.39732142857142855,0.3120567375886525
1,0.6726673903690217,0.0018876941517900322,142,9,0.4107142857142857,0.28368794326241137
2,0.5635803674473314,0.0021825160922148215,240,5,0.38839285714285715,0.2872340425531915
3,0.6227872900086493,0.002691787668812249,77,11,0.39285714285714285,0.3049645390070922
4,0.38833572402702876,0.00017825895387003741,255,20,0.45535714285714285,0.29432624113475175
5,0.7068059372533229,0.000155452201666334,208,18,0.41964285714285715,0.3404255319148936
6,0.4985827166731294,0.0026216008112789533,211,18,0.35714285714285715,0.2978723404255319
7,0.7010330500054651,0.002478897304175283,68,23,0.36607142857142855,0.31560283687943264
8,0.794351789145102,0.00017235798210474737,184,8,0.45089285714285715,0.3900709219858156
9,0.6972688412951782,0.0024279148215202544,251,9,0.38392857142857145,0.30141843971631205
10,0.656613159411607,0.0005064365038639098,175,9,0.41964285714285715,0.35815602836879434
11,0.2201202685449602,0.001520512751785359,245,13,0.39285714285714285,0.3262411347517731
12,0.5701392955434081,0.0002157566757113254,224,6,0.38392857142857145,0.2978723404255319
13,0.26421971754958107,0.00722355286489072,166,6,0.36607142857142855,0.3333333333333333
14,0.501809201177568,0.0002952905893150166,206,19,0.39285714285714285,0.30851063829787234
15,0.495155726767148,0.0065865802891581626,196,16,0.38392857142857145,0.30141843971631205
16,0.36199474503464435,0.0002565683852214772,236,27,0.3794642857142857,0.3404255319148936
17,0.5320293343175099,0.0033389296101128505,129,27,0.35267857142857145,0.32269503546099293
18,0.6494772452333699,0.0002961298889248234,92,6,0.39732142857142855,0.30851063829787234
19,0.4327750936497822,0.001187307801573224,89,16,0.38839285714285715,0.3404255319148936
20,0.4878906524576055,0.00018374704232580166,167,11,0.38839285714285715,0.30851063829787234
21,0.465647929922661,0.0018176094956363536,186,6,0.4017857142857143,0.28368794326241137
22,0.4068598545299114,0.0012187736882224474,197,15,0.36160714285714285,0.2801418439716312
23,0.7088026207379485,0.00018211769112749552,130,16,0.4107142857142857,0.36879432624113473
24,0.7848107752006346,0.008768995303489404,165,19,0.41517857142857145,0.3617021276595745
25,0.4633447532068271,0.00012270181864865366,74,15,0.4107142857142857,0.3262411347517731
26,0.2402215625747661,0.00011448410620766575,149,5,0.42857142857142855,0.2801418439716312
27,0.7712527926792463,0.0013134762340330558,139,22,0.375,0.2695035460992908
28,0.4301939409030804,0.00014693345507315675,238,24,0.42410714285714285,0.3120567375886525
29,0.6372663947868439,0.00015139469357188697,130,20,0.41517857142857145,0.30851063829787234
30,0.31058707438747124,0.00010870292304222855,202,21,0.4375,0.32269503546099293
31,0.5793657597262931,0.004420531892128302,152,6,0.35267857142857145,0.36879432624113473
32,0.4920026070973932,0.00019637066579943942,223,14,0.4107142857142857,0.3333333333333333
33,0.6569083756803891,0.008982037849780586,139,26,0.39732142857142855,0.3333333333333333
34,0.20136021100695256,0.0019091600661759907,182,11,0.3794642857142857,0.30851063829787234
35,0.638592995544204,0.004840099770187106,166,25,0.34375,0.2801418439716312
36,0.356339715783603,0.006259030912199965,231,17,0.3482142857142857,0.3546099290780142
37,0.4586931521142368,0.009508202269630625,65,23,0.40625,0.3120567375886525
38,0.6136030862869608,0.00034766271820133954,248,5,0.38839285714285715,0.3120567375886525
39,0.4671175341779033,0.002523327198353696,186,12,0.39285714285714285,0.3333333333333333
40,0.44566008544262514,0.00027812651543982934,73,28,0.41517857142857145,0.3475177304964539
41,0.5317462675496445,0.004108152403028398,281,19,0.3482142857142857,0.36879432624113473
42,0.21428732969074965,0.00026839197991661545,233,17,0.45535714285714285,0.3049645390070922
43,0.6131979580154128,0.00013055436369965466,157,11,0.42857142857142855,0.3404255319148936
44,0.31168958210980874,0.005944978322610228,152,9,0.4017857142857143,0.30141843971631205
45,0.260812921472256,0.000283697990526953,141,13,0.3794642857142857,0.35106382978723405
46,0.2724785980234423,0.001346317060078277,257,15,0.375,0.3475177304964539
47,0.4333563348861887,0.0001449445186018058,138,5,0.4330357142857143,0.3404255319148936
48,0.26101089857876103,0.00042152016009325624,235,5,0.39732142857142855,0.31560283687943264
49,0.7073447268183597,0.0021238224456709928,283,13,0.3794642857142857,0.39361702127659576
50,0.598660673259489,0.0026377933573678712,167,29,0.35714285714285715,0.3404255319148936
51,0.4949088051349197,0.001577842758303631,149,28,0.33482142857142855,0.33687943262411346
52,0.6378623805023936,0.003938578157486206,240,15,0.32589285714285715,0.2801418439716312
53,0.32074548887050935,0.0006483423026814663,227,15,0.36607142857142855,0.32978723404255317
54,0.30031952972410403,0.00010970295839992813,121,28,0.42410714285714285,0.30851063829787234
55,0.21691508800200573,0.0065882454746564135,97,23,0.30357142857142855,0.33687943262411346
56,0.3505447226066991,0.00048222090262964806,264,29,0.3392857142857143,0.2978723404255319
57,0.6981267552600663,0.004388367484470638,231,11,0.36607142857142855,0.32978723404255317
58,0.5555098574511914,0.0001429872581098757,102,7,0.4017857142857143,0.3333333333333333
59,0.35366156435622675,0.001197045491336989,193,22,0.38839285714285715,0.3475177304964539
